subject,block,trial,task,regret,mb_dist
12,3,64,0,4.0,3.0
12,3,65,1,10.0,4.0
12,3,66,2,2.0,2.0
12,3,67,3,4.0,3.0
12,3,68,0,4.0,3.0
12,3,69,1,20.0,4.0
12,3,70,2,6.0,2.0
12,3,71,3,2.0,3.0
12,3,72,0,6.0,3.0
12,3,73,1,16.0,4.0
12,3,74,2,2.0,2.0
12,3,75,3,2.0,3.0
12,3,76,0,4.0,3.0
12,3,77,1,52.0,4.0
12,3,78,2,10.0,2.0
12,3,79,3,140.0,3.0
12,3,80,0,4.0,3.0
12,3,81,1,44.0,4.0
12,3,82,2,14.0,2.0
12,3,83,3,2.0,3.0
12,3,84,0,4.0,3.0
12,3,85,1,10.0,4.0
12,3,86,2,116.0,2.0
12,3,87,3,2.0,3.0
12,3,88,0,4.0,3.0
12,3,89,1,4.0,4.0
12,3,90,2,2.0,2.0
12,3,91,3,2.0,3.0
12,3,92,0,8.0,3.0
12,3,93,1,6.0,4.0
12,3,94,2,2.0,2.0
12,3,95,3,2.0,3.0
12,3,96,0,6.0,3.0
12,3,97,1,10.0,4.0
12,3,98,2,8.0,2.0
12,3,99,3,98.0,3.0
12,4,0,0,26.0,4.0
12,4,1,1,12.0,5.0
12,4,2,2,4.0,5.0
12,4,3,3,16.0,2.0
12,4,4,0,30.0,4.0
12,4,5,1,60.0,5.0
12,4,6,2,4.0,5.0
12,4,7,3,18.0,2.0
12,4,8,0,20.0,4.0
12,4,9,1,18.0,5.0
12,4,10,2,18.0,5.0
12,4,11,3,4.0,2.0
12,4,12,0,54.0,4.0
12,4,13,1,4.0,5.0
12,4,14,2,70.0,5.0
12,4,15,3,2.0,2.0
12,4,16,0,8.0,4.0
12,4,17,1,2.0,5.0
12,4,18,2,52.0,5.0
12,4,19,3,2.0,2.0
12,4,20,0,240.0,4.0
12,4,21,1,6.0,5.0
12,4,22,2,12.0,5.0
12,4,23,3,2.0,2.0
12,4,24,0,50.0,4.0
12,4,25,1,12.0,5.0
12,4,26,2,18.0,5.0
12,4,27,3,6.0,2.0
12,4,28,0,4.0,4.0
12,4,29,1,10.0,5.0
12,4,30,2,14.0,5.0
12,4,31,3,2.0,2.0
12,4,32,0,50.0,4.0
12,4,33,1,12.0,5.0
12,4,34,2,4.0,5.0
12,4,35,3,14.0,2.0
12,4,36,0,26.0,4.0
12,4,37,1,18.0,5.0
12,4,38,2,8.0,5.0
12,4,39,3,2.0,2.0
12,4,40,0,56.0,4.0
12,4,41,1,14.0,5.0
12,4,42,2,18.0,5.0
12,4,43,3,2.0,2.0
12,4,44,0,16.0,4.0
12,4,45,1,24.0,5.0
12,4,46,2,18.0,5.0
12,4,47,3,2.0,2.0
12,4,48,0,18.0,4.0
12,4,49,1,4.0,5.0
12,4,50,2,4.0,5.0
12,4,51,3,2.0,2.0
12,4,52,0,22.0,4.0
