,subject,block,trial,task,algo,leaf,regret,correct,task_change,task_span,task_angle,task_euclid,task_manhattan,feature_change,feature_angle,feature_euclid,feature_manhattan,max_value_diff,mean_block_regret,mean_block_correct
7,0,7,0,0,uvfa,7,9.0,False,False,0,1.0,0.0,0,False,0.28630192657829534,10.04987562112089,17.0,19.0,0.86,0.81
7,0,7,1,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,1.0,1.4142135623730951,2.0,19.0,0.86,0.81
7,0,7,2,0,uvfa,8,0.0,True,False,0,1.0,0.0,0,False,0.29289321881345254,13.45362404707371,19.0,19.0,0.86,0.81
7,0,7,3,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.7178617536565607,13.92838827718412,20.0,19.0,0.86,0.81
7,0,7,4,0,uvfa,8,0.0,True,False,0,1.0,0.0,0,False,0.29289321881345254,13.45362404707371,19.0,19.0,0.86,0.81
7,0,7,5,1,uvfa,6,0.0,True,False,0,1.0,0.0,0,False,0.7178617536565607,13.92838827718412,20.0,19.0,0.86,0.81
7,0,7,6,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.7178617536565607,13.92838827718412,20.0,19.0,0.86,0.81
7,0,7,7,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,1.0,1.4142135623730951,2.0,19.0,0.86,0.81
7,0,7,8,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.7178617536565607,13.92838827718412,20.0,19.0,0.86,0.81
7,0,7,9,1,uvfa,7,3.0,False,False,0,1.0,0.0,0,False,0.28630192657829534,10.04987562112089,17.0,19.0,0.86,0.81
8,0,8,0,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.46,0.88
8,0,8,1,1,uvfa,6,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.46,0.88
8,0,8,2,0,uvfa,4,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.46,0.88
8,0,8,3,1,uvfa,6,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.46,0.88
8,0,8,4,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.46,0.88
8,0,8,5,1,uvfa,7,3.0,False,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.46,0.88
8,0,8,6,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.46,0.88
8,0,8,7,1,uvfa,7,3.0,False,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.46,0.88
8,0,8,8,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.46,0.88
