subject,block,trial,algo,task,leaf,regret,correct,task_change,task_span,task_angle,task_euclid,task_manhattan,feature_change,feature_angle,feature_euclid,feature_manhattan,transition_change,max_value_diff,possible_correct,mean_block_regret,mean_block_correct
99,4,0,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,3.99,0.31
99,4,0,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,3.99,0.31
99,4,0,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,3.99,0.31
99,4,1,uvfa,1,8,1.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,3.99,0.31
99,4,1,uvfa,1,8,1.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,3.99,0.31
99,4,1,uvfa,1,8,1.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,3.99,0.31
99,4,2,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,3.99,0.31
99,4,2,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,3.99,0.31
99,4,2,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,3.99,0.31
99,4,3,uvfa,1,8,1.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,3.99,0.31
99,4,3,uvfa,1,8,1.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,3.99,0.31
99,4,3,uvfa,1,8,1.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,3.99,0.31
99,4,4,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,3.99,0.31
99,4,4,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,3.99,0.31
99,4,4,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,3.99,0.31
99,4,5,uvfa,1,8,1.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,3.99,0.31
99,4,5,uvfa,1,8,1.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,3.99,0.31
99,4,5,uvfa,1,8,1.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,3.99,0.31
99,4,6,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,3.99,0.31
99,4,6,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,3.99,0.31
99,4,6,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,3.99,0.31
99,4,7,uvfa,1,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,3.99,0.31
99,4,7,uvfa,1,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,3.99,0.31
99,4,7,uvfa,1,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,3.99,0.31
99,4,8,uvfa,0,10,8.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,3.99,0.31
99,4,8,uvfa,0,10,8.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,3.99,0.31
99,4,8,uvfa,0,10,8.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,False,30.0,1,3.99,0.31
99,4,9,uvfa,1,11,5.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,3.99,0.31
99,4,9,uvfa,1,11,5.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,3.99,0.31
99,4,9,uvfa,1,11,5.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,False,30.0,1,3.99,0.31
99,5,0,uvfa,0,7,9.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,0,uvfa,0,7,9.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,0,uvfa,0,7,9.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,1,uvfa,1,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,1,uvfa,1,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,1,uvfa,1,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,2,uvfa,0,7,9.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,2,uvfa,0,7,9.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,2,uvfa,0,7,9.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,3,uvfa,1,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,3,uvfa,1,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,3,uvfa,1,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,4,uvfa,0,10,8.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,4,uvfa,0,10,8.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,4,uvfa,0,10,8.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,5,uvfa,1,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,5,uvfa,1,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,5,uvfa,1,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,6,uvfa,0,7,9.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,6,uvfa,0,7,9.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,6,uvfa,0,7,9.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,7,uvfa,1,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,7,uvfa,1,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,7,uvfa,1,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,8,uvfa,0,10,8.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,8,uvfa,0,10,8.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,8,uvfa,0,10,8.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,9,uvfa,1,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,9,uvfa,1,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,5,9,uvfa,1,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,5.41,0.29
99,6,0,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,3.27,0.36
99,6,0,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,3.27,0.36
99,6,0,uvfa,0,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,3.27,0.36
99,6,1,uvfa,1,11,5.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,True,30.0,1,3.27,0.36
99,6,1,uvfa,1,11,5.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,True,30.0,1,3.27,0.36
99,6,1,uvfa,1,11,5.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,True,30.0,1,3.27,0.36
99,6,2,uvfa,0,7,9.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,True,30.0,1,3.27,0.36
