subject,block,trial,algo,task,leaf,regret,correct,task_change,task_span,task_angle,task_euclid,task_manhattan,feature_change,feature_angle,feature_euclid,feature_manhattan,max_value_diff,possible_correct,mean_block_regret,mean_block_correct
0,3,9,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,False,1.1102230246251565e-16,0.0,0.0,20.0,1,7.07,0.41
0,3,9,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,False,1.1102230246251565e-16,0.0,0.0,20.0,1,7.07,0.41
0,3,9,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,False,1.1102230246251565e-16,0.0,0.0,20.0,1,7.07,0.41
0,4,0,uvfa,0,6,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.11,0.3
0,4,0,uvfa,0,6,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.11,0.3
0,4,0,uvfa,0,6,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.11,0.3
0,4,1,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,True,1.1102230246251565e-16,0.0,0.0,20.0,1,4.11,0.3
0,4,1,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,True,1.1102230246251565e-16,0.0,0.0,20.0,1,4.11,0.3
0,4,1,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,True,1.1102230246251565e-16,0.0,0.0,20.0,1,4.11,0.3
0,4,2,uvfa,0,6,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.11,0.3
0,4,2,uvfa,0,6,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.11,0.3
0,4,2,uvfa,0,6,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.11,0.3
0,4,3,uvfa,1,12,19.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,4.11,0.3
0,4,3,uvfa,1,12,19.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,4.11,0.3
0,4,3,uvfa,1,12,19.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,4.11,0.3
0,4,4,uvfa,0,9,2.0,False,False,0,0.6666666666666666,0.0,0,True,1.0,9.055385138137417,10.0,20.0,2,4.11,0.3
0,4,4,uvfa,0,9,2.0,False,False,0,0.6666666666666666,0.0,0,True,1.0,9.055385138137417,10.0,20.0,2,4.11,0.3
0,4,4,uvfa,0,9,2.0,False,False,0,0.6666666666666666,0.0,0,True,1.0,9.055385138137417,10.0,20.0,2,4.11,0.3
0,4,5,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,True,1.1102230246251565e-16,0.0,0.0,20.0,1,4.11,0.3
0,4,5,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,True,1.1102230246251565e-16,0.0,0.0,20.0,1,4.11,0.3
0,4,5,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,True,1.1102230246251565e-16,0.0,0.0,20.0,1,4.11,0.3
0,4,6,uvfa,0,6,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.11,0.3
0,4,6,uvfa,0,6,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.11,0.3
0,4,6,uvfa,0,6,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.11,0.3
0,4,7,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,True,1.1102230246251565e-16,0.0,0.0,20.0,1,4.11,0.3
0,4,7,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,True,1.1102230246251565e-16,0.0,0.0,20.0,1,4.11,0.3
0,4,7,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,True,1.1102230246251565e-16,0.0,0.0,20.0,1,4.11,0.3
0,4,8,uvfa,0,6,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.11,0.3
0,4,8,uvfa,0,6,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.11,0.3
0,4,8,uvfa,0,6,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.11,0.3
0,4,9,uvfa,1,12,19.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,4.11,0.3
0,4,9,uvfa,1,12,19.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,4.11,0.3
0,4,9,uvfa,1,12,19.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,4.11,0.3
0,5,0,uvfa,0,12,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.18,0.37
0,5,0,uvfa,0,12,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.18,0.37
0,5,0,uvfa,0,12,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.18,0.37
0,5,1,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,4.18,0.37
0,5,1,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,4.18,0.37
0,5,1,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,4.18,0.37
0,5,2,uvfa,0,9,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.18,0.37
0,5,2,uvfa,0,9,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.18,0.37
0,5,2,uvfa,0,9,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.18,0.37
0,5,3,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,4.18,0.37
0,5,3,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,4.18,0.37
0,5,3,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,4.18,0.37
0,5,4,uvfa,0,4,0.0,True,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.18,0.37
0,5,4,uvfa,0,4,0.0,True,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.18,0.37
0,5,4,uvfa,0,4,0.0,True,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.18,0.37
0,5,5,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,True,1.1102230246251565e-16,0.0,0.0,20.0,1,4.18,0.37
0,5,5,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,True,1.1102230246251565e-16,0.0,0.0,20.0,1,4.18,0.37
0,5,5,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,True,1.1102230246251565e-16,0.0,0.0,20.0,1,4.18,0.37
0,5,6,uvfa,0,6,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.18,0.37
0,5,6,uvfa,0,6,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.18,0.37
0,5,6,uvfa,0,6,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.18,0.37
0,5,7,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,4.18,0.37
0,5,7,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,4.18,0.37
0,5,7,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,4.18,0.37
0,5,8,uvfa,0,12,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.18,0.37
0,5,8,uvfa,0,12,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.18,0.37
0,5,8,uvfa,0,12,2.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,2,4.18,0.37
0,5,9,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,4.18,0.37
0,5,9,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,4.18,0.37
0,5,9,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,4.18,0.37
0,6,0,uvfa,0,12,2.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,2,4.92,0.42
0,6,0,uvfa,0,12,2.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,2,4.92,0.42
0,6,0,uvfa,0,12,2.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,2,4.92,0.42
0,6,1,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,1,4.92,0.42
0,6,1,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,1,4.92,0.42
0,6,1,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,1,4.92,0.42
0,6,2,uvfa,0,12,2.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,2,4.92,0.42
0,6,2,uvfa,0,12,2.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,2,4.92,0.42
0,6,2,uvfa,0,12,2.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,2,4.92,0.42
0,6,3,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,False,1.1102230246251565e-16,0.0,0.0,20.0,1,4.92,0.42
0,6,3,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,False,1.1102230246251565e-16,0.0,0.0,20.0,1,4.92,0.42
0,6,3,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,False,1.1102230246251565e-16,0.0,0.0,20.0,1,4.92,0.42
0,6,4,uvfa,0,4,0.0,True,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,2,4.92,0.42
0,6,4,uvfa,0,4,0.0,True,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,2,4.92,0.42
0,6,4,uvfa,0,4,0.0,True,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,2,4.92,0.42
0,6,5,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,1,4.92,0.42
0,6,5,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,1,4.92,0.42
0,6,5,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,1,4.92,0.42
0,6,6,uvfa,0,12,2.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,2,4.92,0.42
0,6,6,uvfa,0,12,2.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,2,4.92,0.42
0,6,6,uvfa,0,12,2.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,2,4.92,0.42
0,6,7,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,False,1.1102230246251565e-16,0.0,0.0,20.0,1,4.92,0.42
0,6,7,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,False,1.1102230246251565e-16,0.0,0.0,20.0,1,4.92,0.42
0,6,7,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,False,1.1102230246251565e-16,0.0,0.0,20.0,1,4.92,0.42
0,6,8,uvfa,0,4,0.0,True,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,2,4.92,0.42
0,6,8,uvfa,0,4,0.0,True,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,2,4.92,0.42
0,6,8,uvfa,0,4,0.0,True,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,2,4.92,0.42
0,6,9,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,False,1.1102230246251565e-16,0.0,0.0,20.0,1,4.92,0.42
0,6,9,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,False,1.1102230246251565e-16,0.0,0.0,20.0,1,4.92,0.42
0,6,9,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,False,1.1102230246251565e-16,0.0,0.0,20.0,1,4.92,0.42
0,7,0,uvfa,0,4,1.0,False,False,0,0.6666666666666666,0.0,0,False,1.0,1.4142135623730951,2.0,20.0,1,4.36,0.3
0,7,0,uvfa,0,4,1.0,False,False,0,0.6666666666666666,0.0,0,False,1.0,1.4142135623730951,2.0,20.0,1,4.36,0.3
0,7,0,uvfa,0,4,1.0,False,False,0,0.6666666666666666,0.0,0,False,1.0,1.4142135623730951,2.0,20.0,1,4.36,0.3
0,7,1,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,1,4.36,0.3
0,7,1,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,1,4.36,0.3
0,7,1,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,1,4.36,0.3
0,7,2,uvfa,0,4,1.0,False,False,0,0.6666666666666666,0.0,0,False,1.0,1.4142135623730951,2.0,20.0,1,4.36,0.3
0,7,2,uvfa,0,4,1.0,False,False,0,0.6666666666666666,0.0,0,False,1.0,1.4142135623730951,2.0,20.0,1,4.36,0.3
0,7,2,uvfa,0,4,1.0,False,False,0,0.6666666666666666,0.0,0,False,1.0,1.4142135623730951,2.0,20.0,1,4.36,0.3
0,7,3,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,1,4.36,0.3
0,7,3,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,1,4.36,0.3
