,subject,block,trial,task,algo,leaf,regret,correct,task_change,task_span,task_angle,task_euclid,task_manhattan,feature_change,feature_angle,feature_euclid,feature_manhattan,max_value_diff,mean_block_regret,mean_block_correct
14,0,14,9,1,uvfa,9,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.84,0.7
15,0,15,0,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.76,0.66
15,0,15,1,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.76,0.66
15,0,15,2,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.76,0.66
15,0,15,3,1,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.76,0.66
15,0,15,4,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.76,0.66
15,0,15,5,1,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.76,0.66
15,0,15,6,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.76,0.66
15,0,15,7,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.76,0.66
15,0,15,8,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.76,0.66
15,0,15,9,1,uvfa,9,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.76,0.66
16,0,16,0,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.6,0.76
16,0,16,1,1,uvfa,9,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.6,0.76
16,0,16,2,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.6,0.76
16,0,16,3,1,uvfa,9,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.6,0.76
16,0,16,4,0,uvfa,6,1.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.6,0.76
16,0,16,5,1,uvfa,9,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.6,0.76
16,0,16,6,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.6,0.76
16,0,16,7,1,uvfa,9,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.6,0.76
16,0,16,8,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.6,0.76
16,0,16,9,1,uvfa,9,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.6,0.76
17,0,17,0,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.27,0.85
17,0,17,1,1,uvfa,9,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.27,0.85
17,0,17,2,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.27,0.85
17,0,17,3,1,uvfa,9,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.27,0.85
17,0,17,4,0,uvfa,8,1.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.27,0.85
17,0,17,5,1,uvfa,9,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.27,0.85
17,0,17,6,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.27,0.85
17,0,17,7,1,uvfa,9,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.27,0.85
17,0,17,8,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.27,0.85
17,0,17,9,1,uvfa,9,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.27,0.85
18,0,18,0,0,uvfa,6,1.0,False,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.4,0.84
18,0,18,1,1,uvfa,9,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.4,0.84
18,0,18,2,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.4,0.84
18,0,18,3,1,uvfa,9,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.4,0.84
18,0,18,4,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.4,0.84
18,0,18,5,1,uvfa,9,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.4,0.84
18,0,18,6,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.4,0.84
18,0,18,7,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.4,0.84
18,0,18,8,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.4,0.84
18,0,18,9,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.4,0.84
19,0,19,0,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.1425070742874559,6.082762530298219,7.0,6.0,0.0,1.0
19,0,19,1,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.1425070742874559,6.082762530298219,7.0,7.0,0.0,1.0
19,0,19,2,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.1425070742874559,6.082762530298219,7.0,6.0,0.0,1.0
19,0,19,3,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.1425070742874559,6.082762530298219,7.0,7.0,0.0,1.0
19,0,19,4,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.1425070742874559,6.082762530298219,7.0,6.0,0.0,1.0
19,0,19,5,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.1425070742874559,6.082762530298219,7.0,7.0,0.0,1.0
19,0,19,6,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.1425070742874559,6.082762530298219,7.0,6.0,0.0,1.0
19,0,19,7,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.1425070742874559,6.082762530298219,7.0,7.0,0.0,1.0
19,0,19,8,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.1425070742874559,6.082762530298219,7.0,6.0,0.0,1.0
19,0,19,9,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.1425070742874559,6.082762530298219,7.0,7.0,0.0,1.0
20,0,20,0,0,uvfa,6,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
20,0,20,1,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
20,0,20,2,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
20,0,20,3,1,uvfa,5,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
20,0,20,4,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
20,0,20,5,1,uvfa,5,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
20,0,20,6,0,uvfa,6,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
