subject,block,trial,trialblock,task,reward,regret,sf_path,mb_paths,mf_paths,mf_sim,mb_sim,p0_sim,p1_sim,p01_sim,sf_comp
0,0,28,28,0,0,0,0,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],3,2,3,3,3.0,True
0,0,28,28,0,0,0,0,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],3,2,3,3,3.0,True
0,0,29,29,1,0,0,3,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,1,3,3,3.0,True
0,0,29,29,1,0,0,3,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,1,3,3,3.0,True
0,0,30,30,0,0,0,5,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,30,30,0,0,0,5,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,31,31,1,0,0,0,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],3,2,3,3,3.0,True
0,0,31,31,1,0,0,0,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],3,2,3,3,3.0,True
0,0,32,32,0,0,0,0,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],3,2,3,3,3.0,True
0,0,32,32,0,0,0,0,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],3,2,3,3,3.0,True
0,0,33,33,1,0,0,2,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,2,3,3,3.0,True
0,0,33,33,1,0,0,2,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,2,3,3,3.0,True
0,0,34,34,0,0,0,5,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,34,34,0,0,0,5,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,35,35,1,0,0,5,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,35,35,1,0,0,5,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,36,36,0,0,0,0,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],3,2,3,3,3.0,True
0,0,36,36,0,0,0,0,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],3,2,3,3,3.0,True
0,0,37,37,1,0,0,7,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,37,37,1,0,0,7,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,38,38,0,0,0,4,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,1,3,3,3.0,True
0,0,38,38,0,0,0,4,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,1,3,3,3.0,True
0,0,39,39,1,0,0,4,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,1,3,3,3.0,True
0,0,39,39,1,0,0,4,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,1,3,3,3.0,True
0,0,40,40,0,0,0,3,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,1,3,3,3.0,True
0,0,40,40,0,0,0,3,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,1,3,3,3.0,True
0,0,41,41,1,0,0,6,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,41,41,1,0,0,6,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,42,42,0,0,0,7,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,42,42,0,0,0,7,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,43,43,1,0,0,4,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,1,3,3,3.0,True
0,0,43,43,1,0,0,4,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,1,3,3,3.0,True
0,0,44,44,0,0,0,7,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,44,44,0,0,0,7,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,45,45,1,0,0,7,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,45,45,1,0,0,7,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,46,46,0,0,0,2,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,2,3,3,3.0,True
0,0,46,46,0,0,0,2,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,2,3,3,3.0,True
0,0,47,47,1,0,0,0,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],3,2,3,3,3.0,True
0,0,47,47,1,0,0,0,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],3,2,3,3,3.0,True
0,0,48,48,0,0,0,0,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],3,2,3,3,3.0,True
0,0,48,48,0,0,0,0,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],3,2,3,3,3.0,True
0,0,49,49,1,0,0,1,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],2,3,3,3,3.0,True
0,0,49,49,1,0,0,1,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],2,3,3,3,3.0,True
0,1,0,50,0,6,1,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,0,50,0,6,2,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,1,51,1,5,2,3,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,1,51,1,5,3,3,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,2,52,0,3,4,6,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,2,52,0,3,5,6,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,3,53,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,3,53,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,4,54,0,7,0,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,4,54,0,7,1,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
