subject,block,trial,task,regret
0,1,69,5,0.0
0,1,70,6,1.0
0,1,71,7,0.0
0,1,72,0,1.0
0,1,73,1,0.0
0,1,74,2,0.0
0,1,75,3,0.0
0,1,76,4,0.0
0,1,77,5,0.0
0,1,78,6,1.0
0,1,79,7,0.0
0,1,80,0,0.0
0,1,81,1,0.0
0,1,82,2,0.0
0,1,83,3,1.0
0,1,84,4,0.0
0,1,85,5,0.0
0,1,86,6,1.0
0,1,87,7,0.0
0,1,88,0,0.0
0,1,89,1,0.0
0,1,90,2,0.0
0,1,91,3,0.0
0,1,92,4,0.0
0,1,93,5,0.0
0,1,94,6,1.0
0,1,95,7,0.0
0,1,96,0,0.0
0,1,97,1,0.0
0,1,98,2,0.0
0,1,99,3,0.0
0,1,100,4,0.0
0,1,101,5,0.0
0,1,102,6,1.0
0,1,103,7,0.0
0,1,104,0,0.0
0,1,105,1,0.0
0,1,106,2,0.0
0,1,107,3,0.0
0,1,108,4,0.0
0,1,109,5,0.0
0,1,110,6,1.0
0,1,111,7,0.0
0,1,112,0,0.0
0,1,113,1,0.0
0,1,114,2,0.0
0,1,115,3,1.0
0,1,116,4,0.0
0,1,117,5,0.0
0,1,118,6,0.0
0,1,119,7,0.0
0,1,120,0,0.0
0,1,121,1,1.0
0,1,122,2,0.0
0,1,123,3,0.0
0,1,124,4,0.0
0,1,125,5,0.0
0,1,126,6,1.0
0,1,127,7,0.0
0,1,128,0,0.0
0,1,129,1,0.0
0,1,130,2,0.0
0,1,131,3,0.0
0,1,132,4,0.0
0,1,133,5,0.0
0,1,134,6,1.0
0,1,135,7,0.0
0,1,136,0,0.0
0,1,137,1,0.0
0,1,138,2,0.0
0,1,139,3,0.0
0,1,140,4,0.0
0,1,141,5,0.0
0,1,142,6,0.0
0,1,143,7,0.0
0,1,144,0,1.0
0,1,145,1,0.0
0,1,146,2,0.0
0,1,147,3,0.0
0,1,148,4,0.0
0,1,149,5,0.0
0,1,150,6,0.0
0,1,151,7,0.0
0,1,152,0,0.0
0,1,153,1,0.0
0,1,154,2,0.0
0,1,155,3,0.0
0,1,156,4,0.0
0,1,157,5,0.0
0,1,158,6,0.0
0,1,159,7,0.0
0,1,160,0,0.0
0,1,161,1,0.0
0,1,162,2,0.0
0,1,163,3,0.0
0,1,164,4,0.0
0,1,165,5,0.0
0,1,166,6,0.0
0,1,167,7,0.0
0,1,168,0,0.0
0,1,169,1,0.0
0,1,170,2,0.0
0,1,171,3,0.0
0,1,172,4,0.0
0,1,173,5,0.0
0,1,174,6,0.0
0,1,175,7,0.0
0,1,176,0,1.0
0,1,177,1,0.0
0,1,178,2,0.0
0,1,179,3,0.0
0,1,180,4,0.0
0,1,181,5,0.0
0,1,182,6,0.0
0,1,183,7,0.0
0,1,184,0,0.0
0,1,185,1,0.0
0,1,186,2,0.0
0,1,187,3,0.0
0,1,188,4,0.0
0,1,189,5,0.0
0,1,190,6,0.0
0,1,191,7,0.0
0,1,192,0,0.0
0,1,193,1,0.0
0,1,194,2,0.0
0,1,195,3,0.0
0,1,196,4,1.0
0,1,197,5,0.0
0,1,198,6,0.0
0,1,199,7,0.0
0,2,0,0,3.0
0,2,1,1,3.0
0,2,2,2,2.0
0,2,3,3,0.0
0,2,4,4,2.0
0,2,5,5,1.0
0,2,6,6,0.0
0,2,7,7,3.0
0,2,8,0,0.0
0,2,9,1,3.0
0,2,10,2,2.0
0,2,11,3,1.0
0,2,12,4,1.0
0,2,13,5,1.0
0,2,14,6,0.0
0,2,15,7,6.0
0,2,16,0,1.0
0,2,17,1,2.0
0,2,18,2,2.0
0,2,19,3,2.0
0,2,20,4,2.0
0,2,21,5,2.0
0,2,22,6,0.0
0,2,23,7,3.0
0,2,24,0,0.0
0,2,25,1,2.0
0,2,26,2,2.0
0,2,27,3,2.0
0,2,28,4,1.0
0,2,29,5,1.0
0,2,30,6,0.0
